msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,0.0
2,HTTP,web_server,client_browser,HTTP/1.1 200 OK (Page Load),0.045
3,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,0.055
4,HTTP,web_server,client_browser,HTTP/1.1 200 OK (CSS File),0.09
5,HTTP,client_browser,web_server,GET /images/logo.png HTTP/1.1,0.11
6,HTTP,web_server,client_browser,HTTP/1.1 200 OK (Image File),0.18
7,HTTP,client_browser,web_server,POST /api/login user=student,2.5
8,HTTP,web_server,client_browser,HTTP/1.1 200 OK (Login Success),2.65
9,HTTP,client_browser,web_server,GET /dashboard/grades HTTP/1.1,4.1
10,HTTP,web_server,client_browser,HTTP/1.1 403 Forbidden,4.15
11,HTTP,client_browser,web_server,GET /public/schedule HTTP/1.1,5.2
12,HTTP,web_server,client_browser,HTTP/1.1 200 OK (Schedule PDF),5.35
13,HTTP,client_browser,web_server,POST /api/logout,8.0
14,HTTP,web_server,client_browser,HTTP/1.1 200 OK (Logged Out),8.05
